Txn Date,Value Date,Narration,Chq/Ref No,Withdrawal Amt.,Deposit Amt.,Closing Balance
31/01/25,31/01/25,POS 4471XXXX1102 UBER INDIA SYSTEMS PUNE,demo:young_professional:661,229.31,,"224,405.76"
01/02/25,01/02/25,NEFT-ACME TECHNOLOGIES-7113-SALARY,demo:young_professional:137,,"95,000.00","319,405.76"
01/02/25,01/02/25,ACH-D- CUREFIT HEALTHCARE PVT LTD,demo:young_professional:43,"1,499.00",,"317,906.76"
02/02/25,02/02/25,UPI/UBERINDIA/148549/PAYMENT,demo:young_professional:591,600.00,,"317,306.76"
03/02/25,03/02/25,IMPS-P2A-382872-RAMESH KUMAR RENT,demo:young_professional:119,"18,000.00",,"299,306.76"
03/02/25,03/02/25,POS 4471XXXX1102 SWIGGY BUNDL TECH CHENNAI,demo:young_professional:454,387.47,,"298,919.29"
03/02/25,03/02/25,UPI/SWIGGY/235031/PAYMENT,demo:young_professional:779,383.62,,"298,535.67"
04/02/25,04/02/25,EMI HDFC LTD 793020,demo:young_professional:155,"12,450.00",,"286,085.67"
05/02/25,05/02/25,POS 4471XXXX1102 SWIGGY BUNDL TECH CHENNAI,demo:young_professional:342,300.09,,"285,785.58"
05/02/25,05/02/25,UPI/SWIGGYUPI/290777/PAY,demo:young_professional:481,620.85,,"285,164.73"
07/02/25,07/02/25,ACH-D- ADOBE SYSTEMS INDIA PVT LTD,demo:young_professional:61,"1,675.00",,"283,489.73"
08/02/25,08/02/25,UPI/SWIGGYUPI/767784/PAY,demo:young_professional:360,207.06,,"283,282.67"
08/02/25,08/02/25,POS 4471XXXX1102 UBER INDIA SYSTEMS BENGALURU,demo:young_professional:580,505.55,,"282,777.12"
09/02/25,09/02/25,ACH-D- SPOTIFY INDIA LLP,demo:young_professional:19,119.00,,"282,658.12"
10/02/25,10/02/25,NACH-SIP GROWW-4586-MF,demo:young_professional:191,"5,000.00",,"277,658.12"
11/02/25,11/02/25,POS 4471XXXX1102 AMAZON.IN HYDERABAD,demo:young_professional:390,"4,500.00",,"273,158.12"
11/02/25,11/02/25,POS 4471XXXX1102 AMAZON.IN MUMBAI,demo:young_professional:763,"1,061.25",,"272,096.87"
12/02/25,12/02/25,POS 4471XXXX1102 AMAZON.IN PUNE,demo:young_professional:329,"3,221.74",,"268,875.13"
12/02/25,12/02/25,ACH-D- SAAVN MEDIA PVT LTD,demo:young_professional:83,99.00,,"268,776.13"
13/02/25,13/02/25,UPI/BESCOMBLR/313052/PAYMENT,demo:young_professional:227,"2,562.98",,"266,213.15"
14/02/25,14/02/25,ACH-D- NETFLIX ENTERTAINMENT SERVICES,demo:young_professional:1,649.00,,"265,564.15"
14/02/25,14/02/25,NACH-BAJAJ FINSERV-1576,demo:young_professional:173,"4,200.00",,"261,364.15"
14/02/25,14/02/25,UPI/UBERINDIA/569442/PAYMENT,demo:young_professional:482,380.00,,"260,984.15"
15/02/25,15/02/25,ATM WDL HYDERABAD 472381,demo:young_professional:263,"9,000.00",,"251,984.15"
16/02/25,16/02/25,UPI/SWIGGY/364728/PAYMENT,demo:young_professional:301,373.06,,"251,611.09"
16/02/25,16/02/25,UPI/AMAZONPAY/178016/PAYMENT,demo:young_professional:395,"2,373.43",,"249,237.66"
17/02/25,17/02/25,POS 4471XXXX1102 SWIGGY BUNDL TECH DELHI,demo:young_professional:747,375.52,,"248,862.14"
18/02/25,18/02/25,UPI/SWIGGY/332914/PAYMENT,demo:young_professional:669,236.91,,"248,625.23"
18/02/25,18/02/25,UPI/AMAZONPAY/177404/PAYMENT,demo:young_professional:764,808.16,,"247,817.07"
21/02/25,21/02/25,AUTOPAY CARD PAYMENT 636587,demo:young_professional:209,"15,303.26",,"232,513.81"
21/02/25,21/02/25,POS 4471XXXX1102 HP PETRO PUMP HYDERABAD,demo:young_professional:674,"1,780.00",,"230,733.81"
22/02/25,22/02/25,UPI/BHARATPETRO/894986/PAYMENT,demo:young_professional:246,930.00,,"229,803.81"
22/02/25,22/02/25,ATM CASH 520545 DELHI,demo:young_professional:564,"9,000.00",,"220,803.81"
23/02/25,23/02/25,POS 4471XXXX2210 OPENAI.COM SAN FRANCISCO,demo:young_professional:101,"1,999.00",,"218,804.81"
23/02/25,23/02/25,POS 4471XXXX1102 UBER INDIA SYSTEMS DELHI,demo:young_professional:313,294.91,,"218,509.90"
23/02/25,23/02/25,UPI/ZOMATO/514820/PAYMENT,demo:young_professional:613,301.75,,"218,208.15"
24/02/25,24/02/25,POS 4471XXXX1102 UBER INDIA SYSTEMS CHENNAI,demo:young_professional:560,423.73,,"217,784.42"
24/02/25,24/02/25,NEFT-AMAZONSELLER-9629-RTGS,demo:young_professional:655,"2,590.14",,"215,194.28"
25/02/25,25/02/25,UPI/BHARATPETRO/670971/PAYMENT,demo:young_professional:499,"2,010.00",,"213,184.28"
27/02/25,27/02/25,SALARY ACME TECHNOLOGIES PVT LTD 165212,demo:young_professional:138,,"95,000.00","308,184.28"
28/02/25,28/02/25,NEFT-AMAZONSELLER-5637-RTGS,demo:young_professional:407,"1,936.74",,"306,247.54"
28/02/25,28/02/25,POS 4471XXXX1102 UBER INDIA SYSTEMS BENGALURU,demo:young_professional:636,600.00,,"305,647.54"
01/03/25,01/03/25,UPI/MEGHA8379@YBL/334209/PAYMENT,demo:young_professional:639,800.00,,"304,847.54"
01/03/25,01/03/25,IMPS-P2A-135073-ROHIT SHARMA,demo:young_professional:664,"1,300.00",,"303,547.54"
02/03/25,02/03/25,UPI/ZOMATO/386878/PAYMENT,demo:young_professional:348,234.55,,"303,312.99"
02/03/25,02/03/25,NEFT-CULTFITIND-8064-RTGS,demo:young_professional:44,"1,499.00",,"301,813.99"
03/03/25,03/03/25,NEFT-RAMESH KUMAR-1336-RENT,demo:young_professional:120,"18,000.00",,"283,813.99"
03/03/25,03/03/25,UPI/PRIYA5887@OKAXIS/932056/PAYMENT,demo:young_professional:411,600.00,,"283,213.99"
04/03/25,04/03/25,UPI/PRIYA1563@OKAXIS/236323/PAYMENT,demo:young_professional:495,"1,550.00",,"281,663.99"
04/03/25,04/03/25,UPI/SWIGGY/329278/PAYMENT,demo:young_professional:771,612.13,,"281,051.86"
06/03/25,06/03/25,POS 4471XXXX2210 ADOBE.COM NOIDA,demo:young_professional:62,"1,675.00",,"279,376.86"
07/03/25,07/03/25,ACH-D- HDFCLOAN EMI 634209,demo:young_professional:156,"12,450.00",,"266,926.86"
07/03/25,07/03/25,POS 4471XXXX2210 SPOTIFY.COM MUMBAI,demo:young_professional:20,119.00,,"266,807.86"
07/03/25,07/03/25,UPI/UBERINDIA/869860/PAYMENT,demo:young_professional:673,194.27,,"266,613.59"
09/03/25,09/03/25,UPI/UBERINDIA/795302/PAYMENT,demo:young_professional:326,214.46,,"266,399.13"
09/03/25,09/03/25,UPI/PRIYA1732@OKAXIS/724550/PAYMENT,demo:young_professional:633,"1,000.00",,"265,399.13"
10/03/25,10/03/25,ACH-D- GROWW NIPPON INDIA MF SIP,demo:young_professional:192,"5,000.00",,"260,399.13"
10/03/25,10/03/25,UPI/AMAZONPAY/938974/PAYMENT,demo:young_professional:376,"3,498.90",,"256,900.23"
12/03/25,12/03/25,NEFT-NETFLIXENT-7973-RTGS,demo:young_professional:2,649.00,,"256,251.23"
12/03/25,12/03/25,POS 4471XXXX1102 SWIGGY BUNDL TECH DELHI,demo:young_professional:389,488.38,,"255,762.85"
12/03/25,12/03/25,UPI/UBERINDIA/997072/PAYMENT,demo:young_professional:534,180.34,,"255,582.51"
13/03/25,13/03/25,POS 4471XXXX2210 JIOSAAVN.COM MUMBAI,demo:young_professional:84,99.00,,"255,483.51"
14/03/25,14/03/25,BESCOM BILL PAYMENT 924010,demo:young_professional:228,"2,753.40",,"252,730.11"
14/03/25,14/03/25,POS 4471XXXX1102 AMAZON.IN HYDERABAD,demo:young_professional:501,"2,348.52",,"250,381.59"
15/03/25,15/03/25,ACH-D- BAJAJFIN EMI 275791,demo:young_professional:174,"4,200.00",,"246,181.59"
15/03/25,15/03/25,UPI/PRIYA2691@OKAXIS/526836/PAYMENT,demo:young_professional:362,"2,000.00",,"244,181.59"
16/03/25,16/03/25,UPI/ZOMATO/922998/PAYMENT,demo:young_professional:775,321.40,,"243,860.19"
17/03/25,17/03/25,UPI/UBERINDIA/315486/PAYMENT,demo:young_professional:531,388.41,,"243,471.78"
17/03/25,17/03/25,POS 4471XXXX1102 HP PETRO PUMP PUNE,demo:young_professional:793,"1,170.00",,"242,301.78"
21/03/25,21/03/25,UPI/SWIGGY/314467/PAYMENT,demo:young_professional:496,243.80,,"242,057.98"
22/03/25,22/03/25,NEFT-OPENAILLC-2022-RTGS,demo:young_professional:102,"1,999.00",,"240,058.98"
22/03/25,22/03/25,CC PAYMENT AUTOPAY HDFC 9012,demo:young_professional:210,"15,064.67",,"224,994.31"
22/03/25,22/03/25,UPI/ZOMATO/594015/PAYMENT,demo:young_professional:651,477.61,,"224,516.70"
23/03/25,23/03/25,UPI/UBERINDIA/775647/PAYMENT,demo:young_professional:250,275.71,,"224,240.99"
23/03/25,23/03/25,POS 4471XXXX1102 IRCTC NEW DELHI,demo:young_professional:658,725.51,,"223,515.48"
24/03/25,24/03/25,POS 4471XXXX1102 IRCTC NEW DELHI,demo:young_professional:696,"1,526.01",,"221,989.47"
26/03/25,26/03/25,POS 4471XXXX1102 UBER INDIA SYSTEMS HYDERABAD,demo:young_professional:542,111.38,,"221,878.09"
27/03/25,27/03/25,POS 4471XXXX1102 UBER INDIA SYSTEMS HYDERABAD,demo:young_professional:279,183.51,,"221,694.58"
27/03/25,27/03/25,UPI/ZOMATO/408232/PAYMENT,demo:young_professional:617,430.06,,"221,264.52"
01/04/25,01/04/25,NEFT-ACME TECHNOLOGIES-6482-SALARY,demo:young_professional:139,,"95,000.00","316,264.52"
01/04/25,01/04/25,UPI/ARJUN2648@OKHDFCBANK/490767/PAYMENT,demo:young_professional:746,450.00,,"315,814.52"
02/04/25,02/04/25,UPI/SWIGGYUPI/703171/PAY,demo:young_professional:540,261.48,,"315,553.04"
02/04/25,02/04/25,UPI/PRIYA6379@OKAXIS/742566/PAYMENT,demo:young_professional:689,300.00,,"315,253.04"
03/04/25,03/04/25,POS 4471XXXX2210 CULT.FIT BENGALURU,demo:young_professional:45,"1,499.00",,"313,754.04"
03/04/25,03/04/25,UPI/ADOBEINDIA/389905/PAYMENT,demo:young_professional:63,"1,675.00",,"312,079.04"
05/04/25,05/04/25,IMPS-P2A-934559-RAMESH KUMAR RENT,demo:young_professional:121,"18,000.00",,"294,079.04"
05/04/25,05/04/25,EMI HDFC LTD 630397,demo:young_professional:157,"12,450.00",,"281,629.04"
05/04/25,05/04/25,IMPS-P2A-944790-ROHIT SHARMA,demo:young_professional:264,350.00,,"281,279.04"
05/04/25,05/04/25,ATM WDL BENGALURU 977004,demo:young_professional:319,"3,000.00",,"278,279.04"
06/04/25,06/04/25,POS 4471XXXX1102 ZOMATO LTD CHENNAI,demo:young_professional:323,378.08,,"277,900.96"
06/04/25,06/04/25,POS 4471XXXX1102 UBER INDIA SYSTEMS MUMBAI,demo:young_professional:438,324.49,,"277,576.47"
06/04/25,06/04/25,POS 4471XXXX1102 SWIGGY BUNDL TECH GURGAON,demo:young_professional:610,238.93,,"277,337.54"
07/04/25,07/04/25,UPI/SPOTIFYINDIA/863955/PAYMENT,demo:young_professional:21,119.00,,"277,218.54"
07/04/25,07/04/25,UPI/SWIGGY/789124/PAYMENT,demo:young_professional:490,472.05,,"276,746.49"
09/04/25,09/04/25,UPI/MEGHA5917@YBL/250378/PAYMENT,demo:young_professional:470,"1,400.00",,"275,346.49"
10/04/25,10/04/25,NACH-SIP GROWW-1383-MF,demo:young_professional:193,"5,000.00",,"270,346.49"
10/04/25,10/04/25,POS 4471XXXX1102 UBER INDIA SYSTEMS BENGALURU,demo:young_professional:693,278.77,,"270,067.72"
11/04/25,11/04/25,UPI/SWIGGY/388369/PAYMENT,demo:young_professional:261,244.01,,"269,823.71"
11/04/25,11/04/25,POS 4471XXXX1102 SWIGGY BUNDL TECH DELHI,demo:young_professional:433,305.34,,"269,518.37"
11/04/25,11/04/25,NEFT-AMAZONSELLER-8307-RTGS,demo:young_professional:756,"1,867.83",,"267,650.54"
12/04/25,12/04/25,UPI/UBERINDIA/846103/PAYMENT,demo:young_professional:701,546.14,,"267,104.40"
12/04/25,12/04/25,UPI/ZOMATO/353475/PAYMENT,demo:young_professional:781,276.74,,"266,827.66"
12/04/25,12/04/25,UPI/JIOSAAVN/923172/PAYMENT,demo:young_professional:85,99.00,,"266,728.66"
13/04/25,13/04/25,UPI/ZOMATO/414203/PAYMENT,demo:young_professional:415,408.20,,"266,320.46"
14/04/25,14/04/25,UPI/BESCOMBLR/248026/PAYMENT,demo:young_professional:229,"2,683.22",,"263,637.24"
14/04/25,14/04/25,POS 4471XXXX2210 NETFLIX.COM MUMBAI,demo:young_professional:3,649.00,,"262,988.24"
15/04/25,15/04/25,NACH-BAJAJ FINSERV-6127,demo:young_professional:175,"4,200.00",,"258,788.24"
15/04/25,15/04/25,POS 4471XXXX1102 INDIAN OIL PUNE,demo:young_professional:336,890.00,,"257,898.24"
17/04/25,17/04/25,IMPS-P2A-791697-ROHIT SHARMA,demo:young_professional:315,700.00,,"257,198.24"
19/04/25,19/04/25,POS 4471XXXX1102 UBER INDIA SYSTEMS CHENNAI,demo:young_professional:615,385.11,,"256,813.13"
20/04/25,20/04/25,AUTOPAY CARD PAYMENT 524379,demo:young_professional:211,"13,478.16",,"243,334.97"
20/04/25,20/04/25,UPI/UBERINDIA/484145/PAYMENT,demo:young_professional:388,600.00,,"242,734.97"
20/04/25,20/04/25,POS 4471XXXX1102 SWIGGY BUNDL TECH CHENNAI,demo:young_professional:405,644.30,,"242,090.67"
20/04/25,20/04/25,POS 4471XXXX1102 INDIAN OIL MUMBAI,demo:young_professional:616,"1,420.00",,"240,670.67"
21/04/25,21/04/25,ACH-D- JIOHOTSTAR DIGITAL,demo:young_professional:37,299.00,,"240,371.67"
21/04/25,21/04/25,UPI/MEGHA6335@YBL/437174/PAYMENT,demo:young_professional:695,"1,150.00",,"239,221.67"
22/04/25,22/04/25,POS 4471XXXX1102 UBER INDIA SYSTEMS GURGAON,demo:young_professional:708,440.70,,"238,780.97"
23/04/25,23/04/25,UPI/OPENAI/522725/PAYMENT,demo:young_professional:103,"1,999.00",,"236,781.97"
24/04/25,24/04/25,UPI/UBERINDIA/336898/PAYMENT,demo:young_professional:320,291.11,,"236,490.86"
24/04/25,24/04/25,UPI/MEGHA7455@YBL/935362/PAYMENT,demo:young_professional:537,250.00,,"236,240.86"
28/04/25,28/04/25,UPI/MEGHA7487@YBL/397120/PAYMENT,demo:young_professional:260,550.00,,"235,690.86"
29/04/25,29/04/25,UPI/SWIGGYUPI/582862/PAY,demo:young_professional:269,648.09,,"235,042.77"
29/04/25,29/04/25,POS 4471XXXX1102 UBER INDIA SYSTEMS GURGAON,demo:young_professional:629,600.00,,"234,442.77"
02/05/25,02/05/25,ATM WDL PUNE 873422,demo:young_professional:588,"5,000.00",,"229,442.77"
03/05/25,03/05/25,NEFT-RAMESH KUMAR-6239-RENT,demo:young_professional:122,"18,000.00",,"211,442.77"
03/05/25,03/05/25,SALARY ACME TECHNOLOGIES PVT LTD 767286,demo:young_professional:140,,"95,000.00","306,442.77"
03/05/25,03/05/25,UPI/CULTFIT/942837/PAYMENT,demo:young_professional:46,"1,618.92",,"304,823.85"
04/05/25,04/05/25,UPI/PRIYA8247@OKAXIS/915414/PAYMENT,demo:young_professional:657,"1,200.00",,"303,623.85"
04/05/25,04/05/25,POS 4471XXXX1102 ZOMATO LTD DELHI,demo:young_professional:738,496.21,,"303,127.64"
05/05/25,05/05/25,ACH-D- HDFCLOAN EMI 867630,demo:young_professional:158,"12,450.00",,"290,677.64"
05/05/25,05/05/25,IMPS-P2A-637000-ROHIT SHARMA,demo:young_professional:289,250.00,,"290,427.64"
05/05/25,05/05/25,IMPS-P2A-985755-ROHIT SHARMA,demo:young_professional:603,"1,350.00",,"289,077.64"
05/05/25,05/05/25,ACH-D- ADOBE SYSTEMS INDIA PVT LTD,demo:young_professional:64,"1,675.00",,"287,402.64"
07/05/25,07/05/25,ACH-D- SPOTIFY INDIA LLP,demo:young_professional:22,119.00,,"287,283.64"
07/05/25,07/05/25,IMPS-P2A-484549-ROHIT SHARMA,demo:young_professional:451,250.00,,"287,033.64"
07/05/25,07/05/25,POS 4471XXXX1102 UBER INDIA SYSTEMS DELHI,demo:young_professional:507,600.00,,"286,433.64"
08/05/25,08/05/25,POS 4471XXXX1102 HP PETRO PUMP BENGALURU,demo:young_professional:309,950.00,,"285,483.64"
08/05/25,08/05/25,NEFT-AMAZONSELLER-4282-RTGS,demo:young_professional:448,"2,215.16",,"283,268.48"
08/05/25,08/05/25,UPI/PRIYA6716@OKAXIS/636206/PAYMENT,demo:young_professional:535,650.00,,"282,618.48"
08/05/25,08/05/25,UPI/PRIYA1519@OKAXIS/795585/PAYMENT,demo:young_professional:677,300.00,,"282,318.48"
09/05/25,09/05/25,UPI/UBERINDIA/943593/PAYMENT,demo:young_professional:352,220.77,,"282,097.71"
09/05/25,09/05/25,POS 4471XXXX1102 INDIAN OIL GURGAON,demo:young_professional:365,"1,880.00",,"280,217.71"
09/05/25,09/05/25,POS 4471XXXX1102 SWIGGY BUNDL TECH PUNE,demo:young_professional:425,293.72,,"279,923.99"
09/05/25,09/05/25,UPI/ZOMATO/424067/PAYMENT,demo:young_professional:521,329.53,,"279,594.46"
10/05/25,10/05/25,ACH-D- GROWW NIPPON INDIA MF SIP,demo:young_professional:194,"5,000.00",,"274,594.46"
10/05/25,10/05/25,UPI/ZOMATO/101621/PAYMENT,demo:young_professional:436,551.17,,"274,043.29"
11/05/25,11/05/25,UPI/SWIGGYUPI/828916/PAY,demo:young_professional:577,322.04,,"273,721.25"
11/05/25,11/05/25,ACH-D- SAAVN MEDIA PVT LTD,demo:young_professional:86,99.00,,"273,622.25"
13/05/25,13/05/25,UPI/SWIGGYUPI/810341/PAY,demo:young_professional:798,216.36,,"273,405.89"
14/05/25,14/05/25,BESCOM BILL PAYMENT 863118,demo:young_professional:230,"2,506.81",,"270,899.08"
15/05/25,15/05/25,ACH-D- BAJAJFIN EMI 797264,demo:young_professional:176,"4,200.00",,"266,699.08"
16/05/25,16/05/25,UPI/NETFLIX BILLDESK/802158/PAYMENT,demo:young_professional:4,649.00,,"266,050.08"
16/05/25,16/05/25,POS 4471XXXX1102 AMAZON.IN PUNE,demo:young_professional:409,863.35,,"265,186.73"
16/05/25,16/05/25,UPI/ARJUN4904@OKHDFCBANK/588863/PAYMENT,demo:young_professional:413,750.00,,"264,436.73"
18/05/25,18/05/25,UPI/SWIGGY/209599/PAYMENT,demo:young_professional:575,440.65,,"263,996.08"
18/05/25,18/05/25,IMPS-P2A-564118-ROHIT SHARMA,demo:young_professional:725,"2,000.00",,"261,996.08"
19/05/25,19/05/25,UPI/UBERINDIA/558451/PAYMENT,demo:young_professional:339,238.81,,"261,757.27"
19/05/25,19/05/25,POS 4471XXXX1102 AMAZON.IN BENGALURU,demo:young_professional:539,"1,510.39",,"260,246.88"
20/05/25,20/05/25,CC PAYMENT AUTOPAY HDFC 1408,demo:young_professional:212,"28,270.45",,"231,976.43"
20/05/25,20/05/25,UPI/PRIYA9371@OKAXIS/149629/PAYMENT,demo:young_professional:796,400.00,,"231,576.43"
21/05/25,21/05/25,UPI/ZOMATO/755375/PAYMENT,demo:young_professional:281,341.93,,"231,234.50"
21/05/25,21/05/25,POS 4471XXXX1102 ZOMATO LTD HYDERABAD,demo:young_professional:426,274.01,,"230,960.49"
23/05/25,23/05/25,UPI/SWIGGYUPI/924546/PAY,demo:young_professional:544,246.61,,"230,713.88"
24/05/25,24/05/25,POS 4471XXXX2210 OPENAI.COM SAN FRANCISCO,demo:young_professional:104,"1,999.00",,"228,714.88"
24/05/25,24/05/25,POS 4471XXXX1102 ZOMATO LTD BENGALURU,demo:young_professional:723,368.92,,"228,345.96"
25/05/25,25/05/25,UPI/BHARATPETRO/909247/PAYMENT,demo:young_professional:316,"1,880.00",,"226,465.96"
26/05/25,26/05/25,UPI/SWIGGYUPI/401963/PAY,demo:young_professional:455,700.00,,"225,765.96"
26/05/25,26/05/25,UPI/MEGHA6411@YBL/311624/PAYMENT,demo:young_professional:582,"1,050.00",,"224,715.96"
28/05/25,28/05/25,POS 4471XXXX1102 INDIAN OIL PUNE,demo:young_professional:267,"2,640.00",,"222,075.96"
28/05/25,28/05/25,UPI/AMAZONPAY/459807/PAYMENT,demo:young_professional:480,"2,077.30",,"219,998.66"
28/05/25,28/05/25,POS 4471XXXX1102 UBER INDIA SYSTEMS HYDERABAD,demo:young_professional:518,600.00,,"219,398.66"
29/05/25,29/05/25,POS 4471XXXX1102 ZOMATO LTD BENGALURU,demo:young_professional:312,323.00,,"219,075.66"
29/05/25,29/05/25,ATM CASH 320528 DELHI,demo:young_professional:366,"1,000.00",,"218,075.66"
31/05/25,31/05/25,UPI/ZOMATO/926258/PAYMENT,demo:young_professional:469,256.42,,"217,819.24"
31/05/25,31/05/25,UPI/SWIGGYUPI/713895/PAY,demo:young_professional:530,324.86,,"217,494.38"
31/05/25,31/05/25,UPI/SWIGGY/974231/PAYMENT,demo:young_professional:714,249.45,,"217,244.93"
31/05/25,31/05/25,POS 4471XXXX1102 ZOMATO LTD GURGAON,demo:young_professional:786,225.10,,"217,019.83"
01/06/25,01/06/25,NEFT-ACME TECHNOLOGIES-7647-SALARY,demo:young_professional:141,,"95,000.00","312,019.83"
01/06/25,01/06/25,UPI/AMAZONPAY/560509/PAYMENT,demo:young_professional:485,"1,996.63",,"310,023.20"
01/06/25,01/06/25,UPI/PRIYA5738@OKAXIS/102699/PAYMENT,demo:young_professional:498,"1,550.00",,"308,473.20"
02/06/25,02/06/25,UPI/SWIGGYUPI/392400/PAY,demo:young_professional:477,543.02,,"307,930.18"
03/06/25,03/06/25,ACH-D- CUREFIT HEALTHCARE PVT LTD,demo:young_professional:47,"1,618.92",,"306,311.26"
03/06/25,03/06/25,UPI/PRIYA6464@OKAXIS/167490/PAYMENT,demo:young_professional:680,650.00,,"305,661.26"
04/06/25,04/06/25,IMPS-P2A-237917-RAMESH KUMAR RENT,demo:young_professional:123,"18,000.00",,"287,661.26"
05/06/25,05/06/25,EMI HDFC LTD 600229,demo:young_professional:159,"12,450.00",,"275,211.26"
